ID	Type	Longitude	Latitude
VADep	d	-77.49439265	37.60851245
BD4	f	-77.6122426	37.65987334
BD1	f	-77.06459316	38.86945316
BD2	f	-78.48362428	38.0716149
BD3	f	-76.572513	37.192842
BD5	f	-76.56325739	37.96878427
BD6	f	-78.45658994	38.03838096
BD7	f	-77.61408049	37.43219038
BD8	f	-77.479311	37.570243
BD9	f	-76.14328309	36.857578
BD10	f	-77.329551	37.434392
BD11	f	-76.38917	37.725445
BD12	f	-76.338677	36.796046
BD13	f	-79.156076	37.383343
BD14	f	-76.276976	36.824499
BD15	f	-76.234653	36.760309
BD16	f	-77.5507	37.686
BD17	f	-76.62533209	39.31945729
BD18	f	-75.25904763	38.36297789
BD19	f	-76.073656	39.036048
BD20	f	-77.08760885	39.45787498
BD21	f	-76.42829181	39.38705702
VA18	c	-76.37630261	37.76279895
VA17	c	-76.80856424	37.95534438
MD16	c	-75.96760662	38.57230697
VA16	c	-76.18762725	36.85191629
VA15	c	-76.175055	36.74987952
VA12	c	-77.6318018	36.68405029
VA14	c	-76.05256482	36.81648961
VA13	c	-76.52886474	36.87027709
VA11	c	-77.73139112	36.72686566
MD1	c	-76.9933024	38.97288322
MD2	c	-76.74258707	38.48315227
MD3	c	-77.03961144	39.23674669
MD4	c	-77.03961144	39.23674669
MD5	c	-77.55619999	38.60271569
VA1	c	-77.55619999	38.60271569
VA2	c	-77.55619999	38.60271569
VA5	c	-80.21640566	36.77246585
VA6	c	-80.21640566	36.77246585
VA7	c	-78.21045396	38.38330353
VA8	c	-76.92421687	38.55160007
VA9	c	-76.95874813	38.83115398
DC1	c	-76.95874813	38.83115398
MD6	c	-76.95874813	38.83115398
MD7	c	-76.57637443	39.00721555
MD8	c	-76.58159017	39.12248658
MD9	c	-76.77489684	39.20213922
MD10	c	-76.64251442	39.34851085
MD11	c	-76.53590266	39.3550345
MD12	c	-76.07605924	39.06865164
MD13	c	-76.04875986	39.23087386
MD14	c	-75.48208408	38.20074982
MD15	c	-75.90573978	37.4370203
VA10	c	-76.38125422	37.13067623
VA19	c	-77.54377482	37.32720328
VA20	c	-77.54377482	37.32720328
VA21	c	-77.43561053	37.13979173
VA22	c	-76.75268264	36.76800013
MD32	c	-75.56777392	38.34627604
MD33	c	-76.46409443	39.33538366
MD34	c	-76.53079722	39.25394705
MD35	c	-76.47996392	39.41176397
MD36	c	-76.32638094	39.4998482
MD37	c	-77.18085494	39.69215239
MD38	c	-77.57443051	39.6753017
MD39	c	-77.71832385	39.58816469
MD40	c	-77.65304663	39.54565272
MD41	c	-77.33624488	39.4089276
MD42	c	-77.42498558	39.40712045
MD43	c	-77.40255566	39.43924045
MD44	c	-77.40716475	39.39167446
MD45	c	-77.40716475	39.39167446
MD46	c	-77.40716475	39.39167446
MD47	c	-77.56665388	39.33702508
MD48	c	-76.86103545	39.09994056
MD49	c	-76.84488682	39.10319454
MD50	c	-76.87810512	39.08634826
MD51	c	-76.85889511	39.08474331
MD52	c	-77.02709893	38.98587167
DC2	c	-77.03326949	38.92136775
DC3	c	-77.03326949	38.92136775
DC4	c	-77.03326949	38.92136775
DC5	c	-76.92858004	38.89901945
DC6	c	-76.97030687	38.8650435
DC7	c	-76.98900209	38.85671737
DC8	c	-77.00688876	38.82283565
DC9	c	-76.9929292	38.84424002
DC10	c	-76.98321881	38.92219673
VA29	c	-77.11217398	38.89020943
VA30	c	-77.26121178	38.82859155
VA31	c	-77.42055066	38.8275446
VA32	c	-77.63714778	38.80884584
VA34	c	-78.06991488	38.67237045
VA33	c	-77.87723441	38.84373063
VA35	c	-78.19672419	38.92582656
VA36	c	-78.19750521	38.93052319
VA37	c	-77.47450827	38.29964068
VA4	c	-80.50149085	37.08810201
VA43	c	-80.04259167	37.28900683
VA44	c	-80.04259167	37.28900683
VA45	c	-80.02869183	37.26682999
VA46	c	-80.02869183	37.26682999
VA47	c	-80.05940156	37.27628983
VA48	c	-79.95643952	37.24365982
VA49	c	-79.95643952	37.24365982
VA50	c	-79.45550101	37.51218082
VA3	c	-79.44403674	37.77624814
VA51	c	-79.87385069	37.79885004
VA52	c	-79.17842459	37.43868295
VA53	c	-79.17326579	37.41995151
VA54	c	-79.24159536	37.3534532
VA55	c	-78.39364155	37.29310626
VA56	c	-78.38251901	37.26265942
VA57	c	-79.28306935	37.13289225
VA58	c	-79.3819542	36.95340909
VA59	c	-78.91424913	36.71261095
VA60	c	-79.41253492	36.59632371
VA61	c	-80.27292307	36.67558255
VA62	c	-80.9236572	36.67252137
VA63	c	-81.02516301	36.70600952
VA64	c	-76.97401961	37.53867673
VA65	c	-77.59956516	37.53435299
VA66	c	-77.41347846	37.21953981
VA67	c	-77.39806359	37.54077412
VA68	c	-77.46419656	37.5627059
VA69	c	-77.52181483	37.52013863
VA70	c	-77.55019994	37.53704028
VA71	c	-79.87410086	37.00159855
VA72	c	-78.91154695	38.2855601
MD73	c	-78.98672929	38.09479103
VA74	c	-79.03795149	38.13248564
VA75	c	-78.67266957	38.41585476
R1	c	-78.356543	39.7842520
R2	c	-76.716984	39.7051550
R3	c	-76.575340	38.3828530
R4	c	-76.409364	37.5593740
R5	c	-77.655695	36.7046650
R6	c	-76.925063	38.7272860
R7	c	-78.647809	39.5435640
R8	c	-79.648122	36.9951980
R9	c	-78.196038	38.2770530
R10	c	-75.941614	37.2862450
R11	c	-79.416061	37.0428740
R12	c	-76.275829	38.3609800
R13	c	-77.735169	37.8438900
R14	c	-77.391155	36.8653410
R15	c	-77.873796	38.2536080
R16	c	-76.248141	37.2247880
R17	c	-79.216982	37.0517050
R18	c	-77.273285	36.8105100
R19	c	-78.096615	37.7287330
R20	c	-76.885788	37.5611030
R21	c	-76.525833	37.5881120
R22	c	-77.608154	39.2802980
R23	c	-77.029146	39.3286480
R24	c	-79.078591	36.7780630
R25	c	-77.208537	37.5365650
R26	c	-79.912684	39.7012140
R27	c	-80.018620	37.4313960
R28	c	-76.089511	38.3259960
R29	c	-76.522211	39.3359050
R30	c	-76.103783	39.5240950
R31	c	-76.224126	36.9926650
R32	c	-80.260026	38.2202080
R33	c	-76.560178	38.5033950
R34	c	-78.558591	39.9501540
R35	c	-76.736210	37.7673310
R36	c	-79.319111	37.1873820
R37	c	-77.603138	37.6100520
R38	c	-78.354440	38.2739960
R39	c	-77.933036	39.2873640
R40	c	-78.929660	39.6560480
R41	c	-77.073726	37.0127720
